method,label,noise_name,seed,budget_fraction,dwga_swapped,dwga_original,dwga_diff
noise_score_cpba_only,CPBA-only,minority_high_40,6,0.01,0.0155763239875389,0.0233644859813084,-0.007788161993769501
noise_score_cpba_only,CPBA-only,minority_high_40,6,0.02,-0.0028541627812199,0.0482866043613707,-0.0511407671425906
noise_score_cpba_only,CPBA-only,minority_high_40,6,0.05,0.0410482762431703,0.0420560747663551,-0.0010077985231848052
noise_score_cpba_only,CPBA-only,minority_high_40,6,0.1,0.0249221183800623,0.0233644859813084,0.0015576323987539012
noise_score_cpba_only,CPBA-only,minority_high_40,7,0.005,0.0342679127725856,0.0062305295950155,0.028037383177570097
noise_score_cpba_only,CPBA-only,minority_high_40,7,0.01,0.0934579439252336,-0.0716510903426791,0.16510903426791268
noise_score_cpba_only,CPBA-only,minority_high_40,7,0.02,0.1074766355140187,0.0329161227041326,0.0745605128098861
noise_score_cpba_only,CPBA-only,minority_high_40,7,0.05,0.17601246105919,0.0950155763239875,0.0809968847352025
noise_score_cpba_only,CPBA-only,minority_high_40,7,0.1,0.1635514018691589,0.0514018691588784,0.1121495327102805
noise_score_cpba_only,CPBA-only,minority_high_40,8,0.005,0.0046728971962616,0.0046728971962617,-9.974659986866641e-17
noise_score_cpba_only,CPBA-only,minority_high_40,8,0.01,0.0186915887850467,0.0109034267912773,0.0077881619937694
noise_score_cpba_only,CPBA-only,minority_high_40,8,0.02,0.0545171339563863,0.0020459898736625,0.0524711440827238
noise_score_cpba_only,CPBA-only,minority_high_40,8,0.05,0.229078337512347,0.0694517548404032,0.1596265826719438
noise_score_cpba_only,CPBA-only,minority_high_40,8,0.1,0.2180685358255452,0.0373831775700934,0.1806853582554518
noise_score_cpba_only,CPBA-only,minority_high_40,9,0.005,0.2435784791152924,0.0566404873904303,0.18693799172486208
noise_score_cpba_only,CPBA-only,minority_high_40,9,0.01,0.228944332773829,0.0619619951509625,0.16698233762286652
noise_score_cpba_only,CPBA-only,minority_high_40,9,0.02,0.2116494325520995,0.0402325051287896,0.1714169274233099
noise_score_cpba_only,CPBA-only,minority_high_40,9,0.05,0.2488999868758246,0.090786828853845,0.15811315802197962
