dataset,noise,budget_fraction,method,n_absolute_seeds,absolute_delta_wga,absolute_ci_low,absolute_ci_high,n_paired_loss_seeds,delta_wga_vs_loss,paired_ci_low,paired_ci_high
Waterbirds,minority_high_40,0.05,forgetting,10,0.03891090066380695,-0.004090478528103222,0.08191227985571713,10,0.03570846371165497,-0.020559643166091407,0.09197657058940134
Waterbirds,minority_high_40,0.1,forgetting,10,0.042245270116252495,0.010048753944848374,0.07444178628765662,10,0.07046832583873841,-0.00515897914650125,0.14609563082397808
Waterbirds,minority_high_40,0.005,margin,10,0.008447824495237271,-0.003940569128823004,0.020836218119297548,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.01,margin,10,0.007623557204136181,-0.025090271836268715,0.04033738624454108,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.02,margin,10,-0.0009112322219229002,-0.045555975136511065,0.04373351069266526,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.05,margin,10,0.0032024369521519796,-0.044899165200793734,0.05130403910509769,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.1,margin,10,-0.0282230557224859,-0.11458219155370714,0.05813608010873533,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.005,aum,10,0.0033270475440523193,-0.01651939454315262,0.02317348963125726,10,-0.00512077695118495,-0.025328888814251212,0.015087334911881311
Waterbirds,minority_high_40,0.01,aum,10,0.0043314614114705096,-0.02285546946360743,0.03151839228654845,10,-0.00329209579266567,-0.0410544450215528,0.03447025343622146
Waterbirds,minority_high_40,0.02,aum,10,0.0018775169060101411,-0.04511297853789226,0.04886801234991253,10,0.0027887491279330406,-0.015669759035437273,0.02124725729130335
Waterbirds,minority_high_40,0.05,aum,10,0.007135199729227529,-0.03683109681817184,0.0511014962766269,10,0.003932762777075547,-0.04371160909640656,0.05157713465055766
Waterbirds,minority_high_40,0.1,aum,10,-0.026976949803482773,-0.09678404669275839,0.04283014708579284,10,0.001246105919003132,-0.04839331094907528,0.05088552278708155
Waterbirds,minority_high_40,0.005,confident_learning,10,0.008447824495237271,-0.003940569128823004,0.020836218119297548,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.01,confident_learning,10,0.007623557204136181,-0.025090271836268715,0.04033738624454108,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.02,confident_learning,10,-0.0009112322219229002,-0.045555975136511065,0.04373351069266526,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.05,confident_learning,10,0.0032024369521519796,-0.044899165200793734,0.05130403910509769,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.1,confident_learning,10,-0.0282230557224859,-0.11458219155370714,0.05813608010873533,10,0.0,0.0,0.0
Waterbirds,minority_high_40,0.005,nn_agreement,10,0.004401917511103739,-0.020085610593503077,0.02888944561571055,10,-0.004045906984133529,-0.02440371125676953,0.01631189728850247
Waterbirds,minority_high_40,0.01,nn_agreement,10,0.015390651442623138,-0.022937317974898952,0.05371862086014523,10,0.00776709423848696,-0.00883781006696075,0.024371998543934667
Waterbirds,minority_high_40,0.02,nn_agreement,10,0.03007681096352167,-0.017531947457364198,0.07768556938440754,10,0.03098804318544457,-0.036233361696811864,0.098209448067701
Waterbirds,minority_high_40,0.05,nn_agreement,10,0.04638753617782562,-0.0059510554455255715,0.09872612780117682,10,0.04318509922567364,-0.023282336582741744,0.10965253503408902
Waterbirds,minority_high_40,0.1,nn_agreement,10,0.037509031504928465,0.007577798717976494,0.06744026429188044,10,0.06573208722741437,0.0035841249278645224,0.12788004952696422
Waterbirds,minority_high_40,0.005,nn_label_spreading,10,0.023208239219180617,-0.023349558105836984,0.06976603654419822,10,0.01476041472394335,-0.03352462821354104,0.06304545766142775
Waterbirds,minority_high_40,0.01,nn_label_spreading,10,0.03813208446443001,0.0030896396036297347,0.07317452932523029,10,0.03050852726029383,0.014672886990113439,0.04634416753047422
Waterbirds,minority_high_40,0.02,nn_label_spreading,10,0.03688597854542689,-0.005220707246352672,0.07899266433720645,10,0.03779721076734979,-0.01976546145982041,0.09535988299452
Waterbirds,minority_high_40,0.05,nn_label_spreading,10,0.0703281043855468,0.026099752865763375,0.11455645590533023,10,0.06712566743339482,-0.00519572335054605,0.1394470582173357
Waterbirds,minority_high_40,0.1,nn_label_spreading,10,0.07473644583514646,0.031957048246833604,0.11751584342345933,10,0.10295950155763237,0.02505585495365703,0.1808631481616077
Waterbirds,minority_high_40,0.005,coreset,10,0.00093457943925233,-0.0020460598722281745,0.003915218750732834,10,-0.007513245055984941,-0.019175950177665137,0.004149460065695257
Waterbirds,minority_high_40,0.01,coreset,10,0.00077881619937695,-0.00225003064854005,0.00380766304729395,10,-0.006844741004759231,-0.03785580817955849,0.024166326170040033
Waterbirds,minority_high_40,0.02,coreset,10,0.006512146769725979,-0.011087083200198708,0.024111376739650664,10,0.007423378991648877,-0.030921686940379035,0.045768444923676786
Waterbirds,minority_high_40,0.05,coreset,10,0.032307368188380245,-0.006515482729090874,0.07113021910585136,10,0.029104931236228267,-0.010807973618120276,0.06901783609057681
Waterbirds,minority_high_40,0.1,coreset,10,0.03626292558592531,0.008374672620476652,0.06415117855137396,10,0.06448598130841122,-0.01563462326148707,0.14460658587830952
Waterbirds,minority_high_40,0.005,uncertainty_diversity,10,0.023318551367331818,0.0003037389879664079,0.04633336374669723,10,0.01487072687209455,-0.0074457475657976925,0.03718720130998679
Waterbirds,minority_high_40,0.01,uncertainty_diversity,10,0.01022172949002214,-0.011553325264146326,0.031996784244190606,10,0.0025981722858859587,-0.03185023994996095,0.037046584521732866
Waterbirds,minority_high_40,0.02,uncertainty_diversity,10,0.0442168666376553,0.0010960631928742456,0.08733767008243634,10,0.045128098859578185,-0.012260602596377172,0.10251680031553354
Waterbirds,minority_high_40,0.05,uncertainty_diversity,10,0.07940934303140819,0.037303784486282375,0.121514901576534,10,0.07620690607925622,0.024721757132885075,0.12769205502562736
Waterbirds,minority_high_40,0.1,uncertainty_diversity,10,0.11056199100648605,0.06300600757583993,0.15811797443713216,10,0.13878504672897193,0.06253338549377463,0.21503670796416924
Waterbirds,minority_high_40,0.005,badge_lite,10,0.01845487010520059,-0.006560454436793293,0.04347019464719447,10,0.010007045609963319,-0.012747128446375877,0.032761219666302514
